Player,Position,Team,ADP,ADP_StdDev
Jauan Jennings,WR,MIN,189.0,28.67
Minnesota Vikings,DS,MIN,191.0,25.26
Ollie Gordon II,RB,MIA,191.0,20.87
Pittsburgh Steelers,DS,PIT,191.0,22.94
Michael Penix Jr.,QB,ATL,191.0,31.78
Jacksonville Jaguars,DS,JAC,192.0,22.44
Omar Cooper Jr.,WR,NYJ,193.0,26.86
Mark Andrews,TE,BAL,193.0,31.24
Travis Hunter,WR,JAC,193.0,29.53
New England Patriots,DS,NE,194.0,19.29
Tua Tagovailoa,QB,ATL,196.0,32.49
Los Angeles Chargers,DS,LAC,197.0,17.86
Jordan James,RB,SF,197.0,25.05
Oronde Gadsden II,TE,LAC,199.0,25.63
Brandon Aubrey,K1,DAL,200.0,18.75
Denzel Boston,WR,CLE,201.0,23.92
Jalen McMillan,WR,TB,201.0,22.95
Demond Claiborne,RB,MIN,202.0,22.23
Deebo Samuel Sr.,WR,,202.0,24.85
Ka'imi Fairbairn,K2,HOU,202.0,16.9
Cameron Dicker,K3,LAC,203.0,16.79
Cam Little,K4,JAC,204.0,15.46
Jason Myers,K5,SEA,204.0,15.29
MarShawn Lloyd,RB,GB,204.0,20.49
Eddy Pineiro,K6,SF,205.0,14.29
Brenton Strange,TE,JAC,205.0,20.56
Tre Tucker,WR,LV,205.0,26.54
J.J. McCarthy,QB,MIN,206.0,26.86
Jerry Jeudy,WR,CLE,206.0,20
Evan McPherson,K7,CIN,206.0,13.93
Tyler Loop,K8,BAL,206.0,13.55
Tre' Harris,WR,LAC,206.0,22.37
Shedeur Sanders,QB,CLE,206.0,24.75
Brandon Aiyuk,WR,SF,207.0,22.14
Green Bay Packers,DS,GB,207.0,14.8
Kayshon Boutte,WR,NE,207.0,17.03
Andy Borregales,K9,NE,207.0,12.7
Devin Neal,RB,NO,207.0,17.27
Cairo Santos,K1,CHI,208.0,12.38
Deshaun Watson,QB,CLE,208.0,23.42
Trey Benson,RB,ARI,209.0,18.33
Cleveland Browns,DS,CLE,209.0,14.32
Jaydon Blue,RB,DAL,209.0,16.77
Kansas City Chiefs,DS,KC,209.0,13.2
Harrison Butker,K1,KC,209.0,13.56
George Holani,RB,SEA,209.0,18.47
Chig Okonkwo,TE,WAS,209.0,14.52
Juwan Johnson,TE,NO,210.0,14.11
Baltimore Ravens,DS,BAL,210.0,17.19
Chris Boswell,K1,PIT,211.0,10.91
Chase McLaughlin,K1,TB,211.0,10.8
Adonai Mitchell,WR,NYJ,211.0,14.45
Justice Hill,RB,BAL,211.0,16.05
Kirk Cousins,QB,LV,211.0,16.96
Carson Beck,QB,ARI,212.0,14.85
Antonio Williams,WR,WAS,212.0,14.32
Troy Franklin,WR,DEN,212.0,12.66
Calvin Ridley,WR,TEN,212.0,11.53
Joe Mixon,RB,,212.0,14.54
Kaelon Black,RB,SF,212.0,13.09
Harrison Mevis,K1,LAR,213.0,10.22
Jalen Nailor,WR,LV,213.0,11.35
Dalton Schultz,TE,HOU,213.0,11.27
Phil Mafah,RB,DAL,213.0,15.49
Tyreek Hill,WR,,213.0,9.08
Kaleb Johnson,RB,PIT,213.0,11.57
Detroit Lions,DS,DET,213.0,10.04
Riley Leonard,QB,IND,213.0,13.34
Will Reichard,K1,MIN,213.0,8.33
AJ Barner,TE,SEA,214.0,12.75
Anthony Richardson Sr.,QB,IND,214.0,11.77
Justin Fields,QB,KC,214.0,11.18
DJ Giddens,RB,IND,214.0,11.18
Chris Brooks,RB,GB,214.0,9.02
LeQuint Allen Jr.,RB,JAC,214.0,6.47
Jake Bates,K1,DET,214.0,8.24
Hunter Henry,TE,NE,214.0,8.04
Najee Harris,RB,LAC,214.0,7.84
Wil Lutz,K1,DEN,215.0,7.65
Jack Bech,WR,LV,215.0,7.65
Mac Jones,QB,SF,215.0,7.45
Indianapolis Colts,DS,IND,215.0,7.26
Charlie Smyth,K1,NO,215.0,7.26
Adam Randall,RB,BAL,215.0,7.06
Kenyon Sadiq,TE,NYJ,215.0,7.06
Tyler Bass,K1,BUF,215.0,6.86
Jaylin Noel,WR,HOU,215.0,6.47
Zane Gonzalez,K2,MIA,215.0,6.28
Blake Grupe,K2,IND,215.0,6.08
Theo Johnson,TE,NYG,215.0,5.69
Jake Elliott,K2,PHI,215.0,5.69
Isaac TeSlaa,WR,DET,215.0,5.69
Chad Ryland,K2,ARI,215.0,5.49
Joey Slye,K2,TEN,215.0,5.1
Chris Brazzell II,WR,CAR,215.0,3.92
Kendre Miller,RB,NO,215.0,3.33
Dontayvion Wicks,WR,PHI,215.0,2.75
Germie Bernard,WR,PIT,215.0,2.75
Chicago Bears,DS,CHI,216.0,1.96
